cancer_type,protein,mean_in,mean_out,fold_change,p_value
Other,TOMM22,0.06,0.0,0.06,0.6089570009029701
Lung,NIPSNAP1,0.0,0.529,-0.529,0.6130544461981364
Normal/Control,FKBP10,0.814,1.353,-0.539,0.6163672559450258
Colorectal,FKBP10,0.0,1.333,-1.333,0.622408858615984
Patient plasma,AIFM1,0.0,0.965,-0.965,0.6276158739125409
Lung,CLPX,0.0,0.572,-0.572,0.6305572190042168
Other,MTCH2,0.652,0.809,-0.157,0.6359129242487154
Other,PGAM5,0.493,0.649,-0.156,0.6388226897035004
Breast,TOMM6,0.0,0.224,-0.224,0.6406960617388326
Pancreatic,DNAJC11,0.0,0.152,-0.152,0.6441405992736288
Pancreatic,MFN2,0.0,0.149,-0.149,0.6441405992736288
Pancreatic,TIMM44,0.0,0.143,-0.143,0.6441405992736288
Patient plasma,STOML2,0.0,0.851,-0.851,0.6467903896088483
Normal/Control,ARL2,5.163,4.604,0.559,0.6479264213066963
Breast,LAP3,9.755,11.388,-1.633,0.6516610759136359
Other,TOMM34,0.379,0.237,0.141,0.6541654898742997
Patient plasma,CASP8,0.0,0.829,-0.829,0.6568199745549446
Patient plasma,OPA1,0.0,0.807,-0.807,0.6568199745549446
Patient plasma,PMPCA,4.047,2.604,1.442,0.6592519696682796
Other,ARMC10,0.366,0.243,0.123,0.6617906921174925
Lung,TOMM70,4.635,3.835,0.8,0.6658459298406346
Patient plasma,CLPP,0.0,0.795,-0.795,0.6671791604073521
Pancreatic,PMPCA,2.078,2.66,-0.582,0.6676868005343934
Lung,NIPSNAP2,0.0,0.39,-0.39,0.6689517629827323
Lung,GRPEL1,0.0,0.38,-0.38,0.6689517629827323
Lung,TOMM20,0.0,0.374,-0.374,0.6689517629827323
Lung,AFG3L2,0.0,0.387,-0.387,0.6689517629827323
Lung,SNAP29,0.0,0.396,-0.396,0.6689517629827323
Breast,PMPCA,3.278,2.592,0.686,0.669958464152576
Breast,CLPP,1.187,0.768,0.419,0.6725716168364001
Normal/Control,DNAJC11,0.0,0.15,-0.15,0.6759780751255888
Normal/Control,MFN2,0.0,0.148,-0.148,0.6759780751255888
Normal/Control,TIMM44,0.0,0.141,-0.141,0.6759780751255888
Colorectal,AIFM1,0.0,0.962,-0.962,0.6761465354005679
Lung,PHB,1.999,2.897,-0.899,0.6764928210848304
Patient plasma,LACTB,0.0,0.708,-0.708,0.6778992920512144
Patient plasma,MTCH2,0.0,0.693,-0.693,0.6778992920512144
Patient plasma,MTX2,0.0,0.733,-0.733,0.6778992920512144
Other,SLC25A4,5.451,5.192,0.26,0.6831020702649935
Other,ATAD1,0.589,0.392,0.197,0.6836863280644894
Patient plasma,SLC25A24,0.0,0.687,-0.687,0.689017205293687
Patient plasma,TOMM7,0.0,0.682,-0.682,0.689017205293687
Patient plasma,PITRM1,0.0,0.68,-0.68,0.689017205293687
Lung,ARMC10,0.0,0.348,-0.348,0.6902639345405671
Pancreatic,TIMM13,0.686,0.523,0.163,0.6921829118933246
Colorectal,STOML2,0.0,0.849,-0.849,0.6932791948439054
Breast,OPA1,1.208,0.779,0.428,0.6967481701818488
Lung,NLN,2.219,1.517,0.702,0.6976786082996724
Breast,HSPD1,10.12,11.151,-1.031,0.6988849456787765
Normal/Control,HSPD1,11.284,11.097,0.188,0.7003203709092993
Colorectal,OPA1,0.0,0.804,-0.804,0.7022226681148618
Colorectal,CASP8,0.0,0.827,-0.827,0.7022226681148618
Pancreatic,HTRA2,0.0,0.104,-0.104,0.7084280561169953
Pancreatic,SAMM50,0.0,0.101,-0.101,0.7084280561169953
Pancreatic,MFN1,0.0,0.102,-0.102,0.7084280561169953
Pancreatic,VPS13D,0.0,0.098,-0.098,0.7084280561169953
Pancreatic,FKBP8,0.0,0.103,-0.103,0.7084280561169953
Pancreatic,DNAJA3,0.0,0.094,-0.094,0.7084280561169953
Pancreatic,CLPB,0.0,0.1,-0.1,0.7084280561169953
Colorectal,CLPP,0.0,0.793,-0.793,0.7114480230125557
Patient plasma,TOMM5,0.0,0.577,-0.577,0.7126303815805926
Patient plasma,ATAD1,0.0,0.554,-0.554,0.7126303815805926
Breast,TOMM70,3.324,3.877,-0.553,0.7195122952977222
Breast,TIMM44,0.0,0.139,-0.139,0.7209025225885721
Breast,MFN2,0.0,0.145,-0.145,0.7209025225885721
Breast,DNAJC11,0.0,0.148,-0.148,0.7209025225885721
Colorectal,LACTB,0.0,0.706,-0.706,0.7209828111810115
Colorectal,MTCH2,0.0,0.691,-0.691,0.7209828111810115
Colorectal,MTX2,0.0,0.731,-0.731,0.7209828111810115
Breast,UQCRC2,2.291,1.795,0.496,0.7220178397534027
Other,LONP1,1.558,1.776,-0.218,0.7231280535814181
Patient plasma,NIPSNAP1,0.0,0.523,-0.523,0.7252426932658804
Patient plasma,PGAM5,0.0,0.532,-0.532,0.7252426932658804
Colorectal,SLC25A24,0.0,0.685,-0.685,0.7308594701696082
Colorectal,TOMM7,0.0,0.68,-0.68,0.7308594701696082
Colorectal,PITRM1,0.0,0.678,-0.678,0.7308594701696082
Pancreatic,HSPD1,10.974,11.117,-0.144,0.7317028829151815
Lung,PMPCB,2.275,1.637,0.638,0.7325126364070564
Normal/Control,TOMM40,0.0,0.091,-0.091,0.7354458975519449
Normal/Control,HTRA2,0.0,0.102,-0.102,0.7354458975519449
Normal/Control,RAB24,0.0,0.102,-0.102,0.7354458975519449
Normal/Control,DNAJA3,0.0,0.093,-0.093,0.7354458975519449
Normal/Control,BCL2L13,0.0,0.095,-0.095,0.7354458975519449
Normal/Control,VPS13D,0.0,0.097,-0.097,0.7354458975519449
Normal/Control,SAMM50,0.0,0.1,-0.1,0.7354458975519449
Normal/Control,FKBP8,0.0,0.101,-0.101,0.7354458975519449
Normal/Control,MFN1,0.0,0.1,-0.1,0.7354458975519449
Patient plasma,CLPX,0.0,0.566,-0.566,0.7384936194669458
Patient plasma,TIMM13,0.0,0.541,-0.541,0.7384936194669458
Lung,TOMM6,0.0,0.219,-0.219,0.738837261913813
Lung,LAP3,11.531,11.314,0.217,0.741269500221384
Breast,STOML2,1.161,0.827,0.334,0.74510891488886
Colorectal,PARK7,11.607,11.783,-0.176,0.7460767959343608
Colorectal,ATAD1,0.0,0.552,-0.552,0.751800863567003
Colorectal,TOMM5,0.0,0.576,-0.576,0.751800863567003
Patient plasma,NRDC,0.0,0.426,-0.426,0.752484716428131
Colorectal,PGAM5,0.0,0.53,-0.53,0.7629692474412805
Colorectal,NIPSNAP1,0.0,0.522,-0.522,0.7629692474412805
Pancreatic,AIFM1,0.723,0.971,-0.248,0.7645829989196791
Patient plasma,SNAP29,0.0,0.392,-0.392,0.7673481821595499
Patient plasma,AFG3L2,0.0,0.383,-0.383,0.7673481821595499
Patient plasma,GRPEL1,0.0,0.375,-0.375,0.7673481821595499
Patient plasma,NIPSNAP2,0.0,0.386,-0.386,0.7673481821595499
Patient plasma,TOMM20,0.0,0.369,-0.369,0.7673481821595499
Pancreatic,PGAM5,0.682,0.515,0.168,0.7702116039132294
Breast,CLPB,0.0,0.097,-0.097,0.7733673917501869
Breast,DNAJA3,0.0,0.091,-0.091,0.7733673917501869
Breast,BCL2L13,0.0,0.094,-0.094,0.7733673917501869
Breast,TOMM40,0.0,0.09,-0.09,0.7733673917501869
Breast,RAB24,0.0,0.101,-0.101,0.7733673917501869
